Kab/Kota;Jeruk. jeruk bali;Mangga;Apel;Rambutan;Duku. langsat;Durian;Salak;Pisang ambon;Pisang lainnya;Pepaya;Semangka;Tomat buah;Alpokat;Jambu biji;Nanas;Nangka;Pir;Anggur;Buah naga;Jambu air;Melon;Manggis;Kelengkeng;Buahbuahan lainnya
Bombana;0.015;0.011;0.019;0.059;0.008;0.108;0.027;0.008;0.368;0.046;0.046;0.034;0.009;0.003;0.008;0.002;0.007;0.005;0.036;0.001;0;0;0;0.004
Wakatobi;0.015;0.041;0.018;0.015;;0.001;0.009;0.026;0.206;0.042;0.019;0.035;0.012;0.001;0.016;0.021;0.005;0.005;0.015;;0;;;0.058
Kolaka Utara;0.006;0.016;0.012;0.055;0.006;0.322;0.019;0.010;0.241;0.033;0.060;0.057;0.033;0.000;0.002;0.000;0.003;0.007;0.016;0.000;;0.001;0.001;0.006
Buton Utara;0.016;0.018;0.017;0.051;0.004;0.000;0.011;0.015;0.195;0.052;0.049;0.013;0.005;0.006;0.034;0.005;0.004;0.004;0.018;0.000;;0.001;0;0.021
Konawe Utara;0.024;0.024;0.035;0.031;;0.052;0.029;0.026;0.155;0.044;0.057;0.072;0.007;0.002;0.023;0.005;0.005;0.018;0.017;0.001;0.009;;0.004;0.018
Kolaka Timur;0.026;0.008;0.021;0.089;0.001;0.067;0.023;0.028;0.181;0.047;0.092;0.064;0.010;0.007;0.012;0.005;0.003;0.008;0.065;0.002;;0.001;0.001;0.006
Konawe Kepulauan;0.007;0.065;0.006;0.060;0.001;0.026;0.014;0.010;0.300;0.045;0.047;0.096;0.001;;0.005;0.004;;;;0.004;;;0;0
Muna Barat;0.006;0.003;0.007;0.328;0.011;0.011;0.009;0.024;0.252;0.047;0.102;0.018;0.002;0.002;0.024;0.002;;0.001;0.012;;;;;0.004
Buton Tengah;0.030;0.019;0.017;0.153;0.005;0.001;0.011;0.023;0.203;0.036;0.076;0.041;0.003;0.004;0.035;0.002;0.002;0.001;0.032;0.004;;0;;0.019
Buton Selatan;0.005;0.063;0.008;0.046;;0.001;0.006;0.025;0.121;0.043;0.037;0.004;0.001;0.000;0.011;0.006;;0.003;0.007;0.001;;;;0.009
Kota Kendari;0.024;0.015;0.040;0.071;0.012;0.044;0.026;0.044;0.128;0.061;0.070;0.072;0.011;0.002;0.018;0.007;0.015;0.036;0.032;0.000;0.002;0.002;0.004;0.004
Kota Baubau;0.020;0.013;0.038;0.058;0.006;0.025;0.008;0.037;0.197;0.060;0.050;0.092;0.035;0.005;0.082;0.006;0.017;0.008;0.019;;0.001;;;0.021
Boalemo;0.021;0.190;0.006;0.081;0.000;0.022;0.017;0.023;0.161;0.085;0.079;;0.003;0.003;0.006;0.022;0.001;0.001;0.004;0.000;0;;;0.002
Gorontalo;0.013;0.067;0.007;0.043;0.009;0.030;0.011;0.015;0.091;0.060;0.070;0.001;0.002;0.001;0.006;0.008;0.000;0.001;0.005;0.001;0.002;;0.003;0.001
Pohuwato;0.009;0.159;0.013;0.082;0.001;0.068;0.001;0.017;0.162;0.041;0.043;0.000;0.005;0.000;0.005;0.006;0.000;0.001;0.004;0.001;;;;0.003
Bone Bolango;0.005;0.058;0.009;0.026;0.002;0.023;0.007;0.024;0.147;0.091;0.040;0.006;0.004;0.001;0.005;0.009;0.001;0.002;0.003;0.001;0.001;;;0.001
Gorontalo Utara;0.002;0.052;0.003;0.044;0.003;0.042;0.005;0.010;0.146;0.053;0.047;0.000;0.001;0.002;0.001;0.002;0.001;0.001;0.002;0.001;;;;0.001
Kota Gorontalo;0.007;0.079;0.014;0.015;0.001;0.033;0.004;0.023;0.160;0.098;0.054;;0.007;0.002;0.002;0.006;0.004;0.002;0.002;0.000;;;0;0.001
Majene;0.020;0.009;0.007;0.076;0.004;0.028;0.006;0.008;0.219;0.088;0.070;0.019;0.004;0.001;0.006;0.000;0.000;0.007;0.015;0.000;0.001;;0;0.004
Polewali Mandar;0.004;0.016;0.013;0.169;0.032;0.258;0.013;0.014;0.240;0.066;0.028;0.057;0.005;0.001;0.014;0.005;0.004;0.003;0.008;0.001;0;0;0.002;0.011
Mamasa;0.011;0.021;0.002;0.015;0.001;0.008;0.002;0.052;0.138;0.039;0.008;0.050;0.014;0.018;0.030;0.010;0.003;0.001;0.001;0.002;;0;0.001;0.008
Mamuju;0.024;0.012;0.009;0.024;0.004;0.079;0.006;0.023;0.107;0.061;0.076;0.061;0.024;0.002;0.008;0.004;0.003;0.003;0.018;0.000;0.001;0.003;0;0.004
Mamuju Utara;0.038;0.030;0.025;0.059;0.002;0.141;0.012;0.034;0.262;0.067;0.093;0.077;0.026;0.003;0.006;0.005;0.007;0.003;0.014;0.003;0.001;;0.004;0.003
Mamuju Tengah;0.047;0.013;0.025;0.036;0.001;0.020;0.005;0.022;0.160;0.056;0.093;0.052;0.015;0.002;0.005;0.003;0.012;0.007;0.009;0.005;;0.003;;0.009
Maluku Tenggara Barat;0.005;0.132;0.003;0.000;;;0.002;0.069;0.199;0.061;0.006;0.002;0.003;0.000;;0.002;0.002;0.001;0.000;;;;0.001;0.053
Maluku Tenggara;0.002;0.004;0.005;0.001;;;0.008;0.079;0.144;0.070;0.005;0.001;0.017;0.001;0.009;0.003;;0.001;0.001;0.003;;;;0.026
Maluku Tengah;0.019;0.045;0.011;0.000;0.001;0.005;0.022;0.069;0.120;0.064;0.017;0.006;0.046;0.014;0.038;0.014;0.009;0.006;0.008;0.012;0.001;0.001;0.008;0.011
Buru;0.045;0.042;0.013;0.002;;0.013;0.013;0.049;0.053;0.032;0.051;0.005;0.019;0.009;0.010;0.004;0.006;0.006;0.007;0.006;0;;0.001;0.002
Kepulauan Aru;0.003;0.007;0.007;0.001;0.000;0.001;0.001;0.010;0.093;0.019;0.033;0.001;0.005;0.000;0.001;0.000;0.002;0.003;0.001;;;;0.001;0.01
Seram Bagian Barat;0.001;0.093;0.002;0.000;0.002;0.034;0.011;0.053;0.153;0.066;0.008;0.004;0.019;0.010;0.034;0.001;0.001;0.001;0.002;0.005;0;;0.001;0.011
Seram Bagian Timur;0.014;0.027;0.004;0.006;;0.002;0.015;0.117;0.140;0.089;0.007;0.019;0.014;0.007;0.006;0.002;0.001;0.004;0.004;0.003;0.002;;0.001;0.004
Maluku Barat Daya;0.004;0.083;0.003;;;0.001;0.000;0.066;0.180;0.134;0.077;0.001;0.015;0.005;0.002;0.004;;;0.001;0.003;;;;0.067
Buru Selatan;0.006;0.052;0.003;;;0.002;0.005;0.047;0.144;0.021;0.004;0.016;0.002;0.001;0.019;0.004;0.000;0.002;0.003;0.001;;;0;0.013
Kota Ambon;0.019;0.056;0.027;0.002;;0.005;0.010;0.051;0.146;0.107;0.041;0.037;0.057;0.006;0.036;0.004;0.015;0.017;0.008;0.004;0.001;;0.005;0.01
Kota Tual;0.002;0.007;0.006;;;0.003;0.006;0.038;0.137;0.099;0.016;0.001;0.043;0.001;0.003;0.003;;0.002;0.001;0.001;0;0.001;0.003;0.025
Halmahera Barat;0.001;0.010;0.006;0.001;0.019;0.011;0.016;0.008;0.301;0.080;0.024;0.072;0.008;0.001;0.009;0.006;0.000;0.005;;0.001;0;;0;0.006
Halmahera Tengah;0.015;0.113;0.011;0.018;0.010;0.003;0.015;0.019;0.151;0.064;0.045;0.008;0.016;0.004;0.006;0.017;0.007;0.001;0.006;0.001;0;0.001;0.001;0.005
Kepulauan Sula;0.010;0.130;0.002;0.002;;0.002;0.003;0.016;0.085;0.043;0.007;0.006;0.004;0.002;0.008;0.003;0.000;0.003;0.003;0.006;;;0;0.003
Halmahera Selatan;0.007;0.071;0.009;0.002;0.001;0.029;0.009;0.024;0.443;0.061;0.015;;0.014;0.003;0.006;0.016;0.001;0.001;0.005;0.001;0.001;;0;0.04
Halmahera Utara;0.006;0.018;0.005;0.032;0.019;0.070;0.029;0.015;0.362;0.095;0.032;0.029;0.021;0.002;0.014;0.016;0.002;0.000;0.002;0.000;0.001;;0.001;0.023
Halmahera Timur;0.013;0.039;0.013;0.059;0.022;0.006;0.011;0.025;0.204;0.097;0.082;0.009;0.031;0.009;0.021;0.011;0.002;0.001;0.005;0.014;0.003;0.001;0.003;0.006
Pulau Morotai;0.039;0.095;0.006;0.008;0.005;0.029;0.025;0.012;0.283;0.066;0.015;0.015;0.007;0.001;0.006;0.008;0.001;;0.001;0.000;0.001;0.001;0;0.013
Pulau Taliabu;0.002;0.146;0.004;0.000;0.007;0.143;0.003;0.012;0.094;0.033;0.004;0.002;0.000;0.000;0.006;0.008;;0.000;0.001;0.000;;;;0.012
Kota Ternate;0.023;0.058;0.021;0.028;0.005;0.031;0.037;0.016;0.113;0.114;0.061;0.002;0.014;0.001;0.005;0.006;0.007;0.008;0.004;0.001;0.001;0.001;0.002;0.013
Kota Tidore Kepulauan;0.007;0.130;0.011;0.014;0.009;0.043;0.040;0.011;0.277;0.100;0.040;0.002;0.036;0.003;0.005;0.003;0.001;0.005;0.003;0.001;;;;0.01
Fakfak;0.013;0.077;0.004;0.006;0.000;0.135;0.006;0.033;0.082;0.042;0.030;0.003;0.012;0.003;0.006;0.002;0.002;0.008;0.010;0.005;0.001;;0;0.004
Kaimana;0.008;0.019;0.011;0.003;;0.034;0.051;0.063;0.362;0.043;0.024;0.000;0.014;0.006;0.016;0.009;0.006;0.004;0.005;0.009;0;;0.002;0.025
Teluk Wondama;0.007;0.062;0.005;0.070;0.038;0.210;0.002;0.037;0.200;0.056;0.010;0.001;0.001;0.008;0.004;0.002;0.002;0.001;0.001;0.003;0;0.001;0.002;0.025
Teluk Bintuni;0.036;0.058;0.009;0.111;0.005;0.121;0.026;0.036;0.147;0.048;0.009;0.003;0.009;0.012;0.007;0.001;0.006;0.001;0.006;0.003;0;;0.001;0.067
Manokwari;0.020;0.030;0.003;0.234;0.014;0.128;0.018;0.033;0.110;0.098;0.080;0.015;0.006;0.005;0.008;0.005;0.003;0.002;0.004;0.006;0.001;;0.008;0.016
Manokwari Selatan;0.015;0.106;0.002;0.143;0.013;0.022;0.005;0.031;0.166;0.076;0.016;;0.010;0.008;0.005;0.004;0.002;;0.001;0.002;;;0.014;0.002
Pegunungan Arfak;0.018;0.003;;0.027;0.005;0.006;0.003;0.020;0.040;0.081;0.017;0.004;0.024;0.005;0.151;0.004;;;;0.000;0.002;0;;0.029
Raja Ampat;0.019;0.056;0.006;0.006;0.000;0.002;0.016;0.037;0.110;0.052;0.010;0.002;0.001;0.002;0.018;0.004;0.001;0.002;0.004;0.006;0;;0.001;0.036
Sorong;0.076;0.034;0.018;0.011;0.003;0.023;0.031;0.040;0.154;0.068;0.113;0.002;0.013;0.011;0.018;0.005;0.012;0.003;0.005;0.011;0.002;0;0.003;0.019
Sorong Selatan;0.012;0.019;0.004;0.017;0.008;0.124;0.017;0.033;0.322;0.041;0.005;0.002;0.004;0.014;0.028;0.003;0.001;0.001;0.002;0.009;0;;;0.024
Maybrat;0.011;0.030;0.005;0.061;0.002;0.022;0.024;0.081;0.104;0.186;0.008;0.008;0.051;0.029;0.107;0.004;;0.001;0.002;0.008;;0.001;;0.031
Tambrauw;0.006;0.051;0.001;0.060;0.031;0.233;0.005;0.061;0.222;0.050;0.005;0.009;0.006;0.002;0.054;0.005;;0.001;;0.001;;;;0.032
Kota Sorong;0.027;0.035;0.022;0.015;0.000;0.027;0.028;0.027;0.124;0.046;0.073;0.003;0.019;0.001;0.005;0.002;0.006;0.010;0.003;0.004;;;0.004;0.027
Jayapura;0.054;0.007;0.005;0.119;0.137;0.014;0.010;0.039;0.110;0.081;0.050;0.020;0.013;0.008;0.009;0.007;0.000;0.007;0.016;0.003;0.001;0;0.002;0.027
Kepulauan Yapen;0.013;0.013;0.001;0.030;0.053;0.230;0.004;0.040;0.364;0.076;0.003;0.014;0.004;0.002;0.003;0.003;;0.001;0.000;0.001;;;;0.05
Biak Numfor;0.012;0.023;0.005;0.024;0.011;0.080;0.000;0.016;0.052;0.082;0.017;0.023;0.004;0.000;0.002;0.001;0.001;0.004;0.001;0.005;0.001;;;0.053
Sarmi;0.029;0.010;0.001;0.044;0.003;0.002;0.005;0.052;0.244;0.089;0.052;0.014;0.003;0.006;0.012;0.008;;0.000;0.001;0.004;;0;;0.004
Keerom;0.106;0.009;0.005;0.040;0.026;0.014;0.008;0.039;0.231;0.163;0.042;0.008;0.004;0.046;0.007;0.003;0.001;0.000;0.010;0.017;0.001;;0.011;0.003
Waropen;0.016;0.029;0.003;0.095;0.005;0.083;0.021;0.024;0.063;0.048;0.006;0.019;0.001;0.002;0.000;0.003;;;0.003;0.001;;;;0
Supiori;0.002;0.017;0.004;0.048;0.034;0.058;0.010;0.036;0.071;0.042;0.002;0.014;0.003;0.003;0.003;0.002;0.002;0.001;;0.002;;;;0.014
Mamberamo Raya;0.004;0.004;;0.012;;0.004;0.004;0.040;0.291;0.027;0.000;0.003;;;0.001;0.007;;;;;;;;
Kota Jayapura;0.062;0.014;0.008;0.035;0.020;0.011;0.013;0.040;0.073;0.080;0.034;0.010;0.007;0.008;0.005;0.005;0.003;0.001;0.010;0.002;0.001;;0.006;0.001
Merauke;0.022;0.007;0.014;0.174;0.002;0.011;0.002;0.014;0.219;0.070;0.036;0.001;0.006;0.008;0.004;0.001;0.009;0.004;0.009;0.002;0.004;0.001;0.009;0.018
Boven Digoel;0.011;0.002;0.005;0.087;0.000;0.020;0.018;0.061;0.172;0.043;0.009;0.000;0.010;0.002;0.046;0.001;0.001;0.001;0.003;0.000;;;0.001;0.001
Mappi;0.023;0.001;0.011;0.010;0.000;0.024;0.002;0.031;0.087;0.039;0.002;0.000;0.005;0.007;0.010;0.004;0.002;0.001;;0.005;;;0.001;0.001
Asmat;0.005;0.002;0.006;0.012;0.001;;0.003;0.025;0.209;0.016;0.011;0.000;0.002;0.006;0.004;0.003;0.004;0.000;0.003;0.029;;;0.001;0.023
Mimika;0.029;0.016;0.020;0.008;0.001;0.002;0.037;0.011;0.094;0.050;0.063;0.007;0.010;0.028;0.009;0.002;0.007;0.016;0.003;0.002;0.001;0;0.004;0.003
Dogiyai;0.043;0.010;;0.000;;;0.009;0.156;0.029;0.081;0.002;0.006;0.029;0.026;0.052;0.012;;0.000;;0.001;;;;0.076
Deiyai;0.199;;;;;;;0.013;0.003;;;;;;0.005;;;;;;;;;0.124
Nabire;0.058;0.017;0.017;0.012;0.017;0.047;0.027;0.053;0.092;0.118;0.116;0.003;0.005;0.005;0.014;0.003;0.010;0.001;0.006;0.004;0.008;;0.001;0.008
Paniai;0.138;0.021;0.006;0.009;0.001;0.002;;0.039;0.007;0.003;0.002;;0.034;0.007;;;;0.008;;0.007;;;;0.018
Intan Jaya;0.160;0.003;;;;;;0.041;0.003;0.014;;;0.007;0.004;;;;0.000;;0.005;;;;0.044
Puncak;0.023;;;;;;;;0.002;;;;0.017;;0.001;;;;;;;;;
Puncak Jaya;0.015;0.001;;;;;;0.107;0.016;0.050;0.000;0.000;0.000;0.000;0.107;0.004;;;;;;;;
Nduga;0.022;;;;;;0.002;0.089;0.179;0.025;;0.028;0.042;0.000;0.002;0.000;;;;;;;;0.003
Jayawijaya;0.136;0.005;0.002;0.021;0.008;0.007;0.003;0.062;0.144;0.071;0.012;0.007;0.056;0.004;0.020;0.003;;0.000;0.011;0.004;;;;0.001
Lanny Jaya;0.027;;;;;;;0.003;0.309;;;;0.053;0.005;;;;;;;;;;0.013
Tolikara;0.048;0.003;;;;;;0.030;0.048;0.031;0.003;0.004;0.029;0.025;0.001;0.000;;;;;;;;0.042
Mamberamo Tengah;0.119;0.020;0.003;;;0.002;0.012;0.128;0.052;0.025;0.004;0.000;0.030;0.022;0.008;;;;;0.016;;;;0.026
Yalimo;0.152;0.001;;;;;0.002;0.197;0.061;0.055;;;0.005;;;;;;;;;;;0.032
Yahukimo;0.009;0.011;;;;0.000;;0.202;0.123;0.129;0.004;0.002;0.055;0.007;0.008;0.000;;;;0.001;;;;0.181
Pegunungan Bintang;0.001;;0.000;;;;;0.135;0.085;0.023;0.000;;0.015;;0.033;;;;;;;;;
